"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"cylinders","cylinders","2","t5fxopaw","6238","lstm_vanilla"
"cylinders","spheres","2","t5fxopaw","0","lstm_vanilla"
"cylinders","circular_plates","2","t5fxopaw","96","lstm_vanilla"
"cylinders","cones","2","t5fxopaw","66","lstm_vanilla"
"spheres","cylinders","2","t5fxopaw","0","lstm_vanilla"
"spheres","spheres","2","t5fxopaw","6400","lstm_vanilla"
"spheres","circular_plates","2","t5fxopaw","0","lstm_vanilla"
"spheres","cones","2","t5fxopaw","0","lstm_vanilla"
"circular_plates","cylinders","2","t5fxopaw","13","lstm_vanilla"
"circular_plates","spheres","2","t5fxopaw","0","lstm_vanilla"
"circular_plates","circular_plates","2","t5fxopaw","6360","lstm_vanilla"
"circular_plates","cones","2","t5fxopaw","27","lstm_vanilla"
"cones","cylinders","2","t5fxopaw","1001","lstm_vanilla"
"cones","spheres","2","t5fxopaw","1","lstm_vanilla"
"cones","circular_plates","2","t5fxopaw","52","lstm_vanilla"
"cones","cones","2","t5fxopaw","4691","lstm_vanilla"
