"epoch","lstm_bidirectional - _step","lstm_bidirectional - _step__MIN","lstm_bidirectional - _step__MAX","lstm_bidirectional - loss/train_epoch","lstm_bidirectional - loss/train_epoch__MIN","lstm_bidirectional - loss/train_epoch__MAX","lstm_bidirectional - loss/val_epoch","lstm_bidirectional - loss/val_epoch__MIN","lstm_bidirectional - loss/val_epoch__MAX"
"0","374.3333333333333","224","450","0.8877319097518921","0.8877319097518921","0.8877319097518921","0.7701517343521118","0.6161172389984131","0.9241862297058105"
"1","825.6666666666666","675","902","0.4738410711288452","0.4738410711288452","0.4738410711288452","0.36240699887275696","0.26074257493019104","0.4640714228153229"
"2","1277.3333333333333","1127","1353","0.2262711524963379","0.2262711524963379","0.2262711524963379","0.20126017928123474","0.20068944990634918","0.2018309086561203"
"3","1728.6666666666667","1578","1805","0.17952103912830353","0.17952103912830353","0.17952103912830353","0.16146139800548553","0.15886718034744263","0.16405561566352844"
"4","2180.3333333333335","2030","2256","0.1604413390159607","0.1604413390159607","0.1604413390159607","0.14776014536619186","0.1315135508775711","0.16400673985481262"
"5","2631.6666666666665","2481","2708","0.14127199351787567","0.14127199351787567","0.14127199351787567","0.14169221371412277","0.14102579653263092","0.14235863089561462"
"6","3083.3333333333335","2933","3159","0.13280059397220612","0.13280059397220612","0.13280059397220612","0.13115187361836433","0.12119301408529282","0.14111073315143585"
"7","3534.6666666666665","3384","3611","0.13170473277568817","0.13170473277568817","0.13170473277568817","0.12624723091721535","0.1241518184542656","0.1283426433801651"
"8","3986.3333333333335","3836","4062","0.12472947686910629","0.12472947686910629","0.12472947686910629","0.12168176844716072","0.12044329941272736","0.12292023748159409"
"9","4437.666666666667","4287","4514","0.12491345405578613","0.12491345405578613","0.12491345405578613","0.12682434916496277","0.1139950156211853","0.13965368270874023"
