"epoch","Residual_Network_noClip_noNoiseLayer - _step","Residual_Network_noClip_noNoiseLayer - _step__MIN","Residual_Network_noClip_noNoiseLayer - _step__MAX","Residual_Network_noClip_noNoiseLayer - loss/train_epoch","Residual_Network_noClip_noNoiseLayer - loss/train_epoch__MIN","Residual_Network_noClip_noNoiseLayer - loss/train_epoch__MAX","Residual_Network_noClip_noNoiseLayer - loss/val_epoch","Residual_Network_noClip_noNoiseLayer - loss/val_epoch__MIN","Residual_Network_noClip_noNoiseLayer - loss/val_epoch__MAX"
"0","374.3333333333333","224","450","0.29833680391311646","0.29833680391311646","0.29833680391311646","0.18577508628368378","0.15910382568836212","0.21244634687900543"
"1","825.6666666666666","675","902","0.16393251717090607","0.16393251717090607","0.16393251717090607","0.15632543712854385","0.1362752765417099","0.1763755977153778"
"2","1277.3333333333333","1127","1353","0.14061515033245087","0.14061515033245087","0.14061515033245087","0.14434760063886642","0.13551107048988342","0.15318413078784943"
"3","1728.6666666666667","1578","1805","0.134927436709404","0.134927436709404","0.134927436709404","0.16566815972328186","0.15358026325702667","0.17775605618953705"
"4","2180.3333333333335","2030","2256","0.12840285897254944","0.12840285897254944","0.12840285897254944","0.12055717781186104","0.1195613294839859","0.12155302613973618"
"5","2631.6666666666665","2481","2708","0.12471234053373337","0.12471234053373337","0.12471234053373337","0.1251317262649536","0.11537458002567291","0.13488887250423431"
"6","3083.3333333333335","2933","3159","0.12034709006547928","0.12034709006547928","0.12034709006547928","0.12262722477316856","0.11496972292661667","0.13028472661972046"
"7","3534.6666666666665","3384","3611","0.11419521272182465","0.11419521272182465","0.11419521272182465","0.11406417191028595","0.11325037479400635","0.11487796902656555"
"8","3986.3333333333335","3836","4062","0.11200836300849915","0.11200836300849915","0.11200836300849915","0.12882394343614578","0.10856956243515015","0.14907832443714142"
"9","4437.666666666667","4287","4514","0.10953264683485031","0.10953264683485031","0.10953264683485031","0.11792819574475288","0.11736762523651123","0.11848876625299454"
